,0,1,2,3,4,5,6,7,8,9,10
82,286431,193477,833702,2266909,5325853,6720796,5063448,925101,546817,1322466,0
83,303602,206990,878293,2390529,5630055,7109624,5252503,957755,564568,1353081,0
84,152496,107282,439343,1205886,2831147,3582828,2720523,520317,294693,738485,0
85,125322,50071,447316,1351146,1323626,2279113,3319085,517579,704080,2598162,1
86,118523,79744,329204,902033,2138055,2716690,2071198,374140,219043,543370,0
87,303829,200352,870293,2381707,5435914,6973924,5453605,984938,599378,1471060,0
88,195790,132792,574147,1590062,3630095,4663811,3750087,697879,414256,1028581,0
89,280330,184590,832552,2292345,5183204,6647655,5249612,950590,588420,1433202,0
90,297408,198064,860546,2346075,5513589,6988582,5283185,946513,573119,1380919,0
91,216254,147281,604691,1649152,3983239,5028891,3736779,674891,393852,966970,0
92,312188,206686,881410,2390487,5612985,7134247,5339132,959727,576538,1384100,0
93,308929,205621,865672,2357526,5575532,7051210,5271419,949695,555724,1341172,0
94,224949,154003,638151,1734905,4106648,5199632,3940379,724835,418179,1023319,0
95,209414,145533,588889,1607453,3808238,4840404,3657001,677330,383724,945014,0
96,293878,199356,833496,2261939,5330579,6789935,5015264,912450,532843,1280260,0
97,312654,209038,876636,2384818,5606576,7177548,5318263,953282,560576,1345609,0
98,314261,208048,882528,2411144,5676600,7253002,5365130,958759,572830,1365198,0
99,218590,151622,605771,1648049,3928472,4985527,3733730,692653,385184,940402,0
100,214263,149180,603291,1641429,3881114,4964003,3716587,692428,388544,941161,0
101,155617,108242,431070,1175388,2834114,3590950,2708285,498949,275370,682015,0
102,123461,79956,367718,1031279,2339876,3031839,2348691,435462,270707,628511,1
103,310131,202302,882366,2434306,5607677,7251542,5493837,983770,595942,1420627,0
104,111277,73130,317283,864730,1943892,2535731,2020882,369304,225448,550823,0
105,315327,129475,1146204,3403163,3452543,5939402,8123656,1133800,1725866,6113064,1
106,302290,198036,880095,2425227,5498985,7114647,5507839,976209,622478,1492194,0
107,212715,145307,613148,1687708,3962734,5083914,3830406,707656,412753,990659,0
108,216590,147865,626652,1714877,3998092,5152510,3934477,718885,425400,1030152,0
109,208956,142762,592780,1623646,3849809,4935814,3711741,683536,389686,941270,0
110,285897,188550,815885,2239608,5212710,6726786,5132049,905194,555258,1353063,0
111,304753,204500,869779,2382535,5593176,7177525,5313045,953665,568213,1349809,0
112,304163,203053,876387,2405792,5620361,7198757,5337839,954757,580100,1386291,0
113,222517,153373,632474,1735008,4082016,5243819,3927956,717189,420986,1012162,0
114,198931,137097,570008,1573381,3643500,4690822,3612598,671725,387646,939792,0
115,290874,195604,841083,2303855,5328347,6851391,5123705,927424,565541,1344176,0
116,303432,203526,869592,2382376,5549381,7120186,5303331,955369,572755,1355552,0
117,219484,151981,636848,1755493,4101753,5263572,3935035,726777,426761,1024296,0
118,205130,141803,596280,1643590,3883456,4970321,3748568,689805,400411,958136,0
119,275784,184925,804647,2215716,5181633,6677751,4971258,897652,538607,1275027,0
120,301924,202968,882249,2400076,5617550,7166581,5342950,970031,582201,1365970,0
121,216157,146136,632388,1744256,4039070,5220537,4030015,738781,433996,1051164,0
122,200545,135019,590276,1630320,3777372,4882207,3812783,702231,415732,1003515,0
123,161668,113554,458133,1261768,3002925,3806973,2940410,548276,303829,754964,0
124,118451,73282,351170,997154,2163231,2852460,2294695,427204,275969,648884,1
125,309907,205392,885429,2432468,5611770,7191111,5392638,978489,588305,1401491,0
126,220826,148035,643042,1781876,4010423,5203529,4143482,770439,462214,1124134,0
127,194489,126942,583288,1640052,3479226,4577614,3852368,736753,455662,1153606,0
128,283976,178188,865147,2423524,4966255,6549063,5551539,1029865,697990,1716453,0
129,296281,191529,862423,2374475,5269839,6848672,5417001,984375,617460,1497945,0
130,218402,145853,629853,1751588,4020785,5196729,4033999,734457,442577,1078257,0
131,201506,135545,586707,1619578,3726218,4809155,3741190,695986,412204,1004911,0
132,290742,191163,834828,2293329,5260879,6771812,5177619,934096,576002,1382030,0
133,308544,201019,885643,2423994,5538004,7130959,5455673,980394,607259,1465511,0
134,75489,45093,225187,635986,1377312,1810832,1450979,253241,179347,414534,1
135,134067,91970,387415,1065984,2454594,3158203,2462503,460780,270317,668667,0
136,211147,141915,602234,1661644,3821104,4908933,3851330,714297,422334,1035562,0
137,290620,194326,831544,2282572,5229151,6682989,5088547,932855,559466,1357930,0
138,277093,187001,783262,2144342,4936312,6338176,4868731,890525,521442,1267616,0
139,79616,39245,254828,749910,1092323,1620591,1872889,318412,314961,877725,1
140,125977,55204,418087,1226493,1470103,2343882,3130320,531049,595046,1975839,1
141,81953,42411,259855,755744,1258072,1792197,1844145,315038,286369,749216,1
142,132484,90209,378205,1049791,2406453,3092089,2481892,462282,269461,672634,0
143,284080,189030,833180,2291661,5144483,6648475,5236411,958215,583133,1403832,0
144,305318,201641,887821,2455677,5560881,7146934,5552302,1008726,622483,1493217,0
145,217892,149284,627685,1725610,4018499,5131867,3943652,733621,422034,1026856,0
146,209202,144793,608288,1675856,3939578,4974283,3811145,712426,410871,996058,0
147,289546,195790,838582,2291731,5338673,6755896,5111985,936401,551153,1325743,0
148,299079,198854,868332,2393390,5537601,7055841,5324166,971489,585642,1395106,0
149,217608,147541,631837,1738210,4035655,5151748,3968544,733317,431566,1049474,0
150,126470,86450,365491,1015155,2351406,3007468,2342858,439854,253258,616590,0
151,110996,53345,335243,981332,1459896,2198761,2487535,427165,408823,1161904,1
152,265773,173675,769260,2126815,4843052,6226885,4833138,882843,542308,1298751,0
153,220582,147756,633952,1748531,3965832,5107637,4029926,751004,448386,1093894,0
154,207113,140455,591800,1644095,3757448,4815681,3763163,712417,414838,1004990,0
155,297151,199163,843550,2316143,5364738,6814936,5101499,933287,559691,1334842,0
156,313475,205536,883786,2427019,5494260,7025861,5471278,992255,608970,1490560,0
157,216749,145855,618671,1713766,3876996,4993220,3968135,739537,432872,1074199,0
158,206194,140688,587742,1620451,3714742,4757369,3723998,697327,403566,1000423,0
159,303071,203815,858576,2346061,5364822,6874676,5241884,950337,576097,1402661,0
160,207540,142880,592959,1626368,3804648,4882240,3748174,692110,395797,976784,0
161,298299,197922,831002,2260652,5167051,6669496,5076647,919432,557438,1360061,0
162,211017,148873,594476,1619787,3780870,4817186,3657276,694656,391175,961684,0
163,296046,198255,839301,2282312,5346963,6813324,5080596,918046,544983,1322674,0
164,306952,204197,868242,2362143,5497716,7031266,5304877,958874,572972,1375261,0
165,220551,148992,625911,1714166,3910898,5022969,3965452,742074,430443,1068544,0
166,208080,145348,593746,1628902,3820168,4876123,3723269,692249,391914,965201,0
167,292126,196900,836212,2277407,5234264,6699051,5118261,931862,552720,1346197,0
168,213815,144767,593407,1626182,3728641,4799503,3775351,706051,402975,1001808,0
169,297528,198674,835663,2271259,5322892,6788040,5125034,917413,548412,1327085,0
170,309962,204719,871228,2371132,5526385,7048696,5295694,949970,572787,1377427,0
171,227330,154017,641525,1738089,4061346,5168960,3947923,730078,423423,1026809,0
172,127431,63814,439924,1307080,2004505,2962757,3220156,569362,534542,1615429,1
173,161320,80965,532233,1580296,2709466,3892090,4028176,702444,596309,1659201,1
174,161031,44713,251812,685751,1415370,2345271,1658362,290063,333447,773292,1
175,172277,114183,470861,1303744,3059848,3979614,3081792,564128,325041,799376,0
176,241655,162099,666100,1826614,4378650,5665795,4196647,750588,433227,1034225,0
177,223210,149686,627181,1718635,4076661,5274232,3984953,720975,417325,1001318,0
178,305551,197759,844681,2334162,5354483,7017717,5396928,956674,586009,1398468,0
179,320723,211714,911317,2515531,5893646,7582523,5631351,1000324,605616,1430919,0
180,248101,170688,685415,1872931,4454785,5702488,4218529,771282,439026,1054355,0
181,205148,139652,586987,1631831,3851050,4940924,3789419,693043,397796,966150,0
182,299701,195619,871888,2420966,5510332,7132776,5520198,993142,610559,1453243,0
183,311667,199591,922210,2572118,5697729,7482298,5900819,1060215,677269,1607692,0
184,229566,154733,660791,1842952,4228302,5461958,4232653,774978,457287,1108780,0
185,212041,143122,611541,1700976,3918243,5066178,3982452,736056,426906,1046165,0
186,307968,205472,876267,2408016,5630953,7246053,5400971,975142,578968,1374222,0
187,319812,210256,913450,2520787,5802346,7520203,5698966,1022674,617527,1477099,0
188,247167,167956,688659,1890268,4444861,5723131,4297781,784075,449302,1092760,0
189,225520,154352,625174,1717027,4028581,5184883,3917874,722609,406420,1002800,0
190,313671,209546,885522,2433785,5658319,7270340,5409240,982742,580501,1385894,0
191,315156,208882,890164,2439556,5664558,7293979,5459559,992228,584242,1400012,0
192,245166,168237,685731,1878857,4405356,5648330,4199739,777543,439241,1067528,0
193,227254,156198,635735,1744940,4145201,5285304,3944893,730473,407881,1002121,0
194,308122,205330,871901,2386319,5507663,7081655,5342615,973729,575939,1388167,0
195,324761,215094,926189,2542468,5879259,7608596,5684106,1029053,612561,1464033,0
196,243628,163881,688640,1898603,4384666,5637853,4287123,793839,460305,1124942,0
197,229284,155600,645274,1768691,4172655,5327532,4059899,752129,424819,1043909,0
198,304547,202267,858792,2363103,5487958,7060456,5347821,967000,567756,1376940,1
199,126626,80553,366583,1041252,2323506,3029863,2346888,437850,267647,629832,0
200,186292,131842,521342,1432376,3354598,4272462,3263530,622600,337359,840479,0
201,123743,85189,348930,963672,2244439,2876970,2178640,409635,232836,567626,0
202,125266,81728,356959,999739,2315035,2953605,2183954,410062,244463,567077,1
203,289403,191480,815485,2241001,5154097,6627156,5086079,926741,551336,1348606,0
204,330371,217818,922880,2519106,5881675,7572651,5693095,1010639,605992,1453773,0
205,226886,153208,655323,1823308,4152540,5348504,4176518,783408,455658,1118855,0
206,120814,81499,345914,962213,2185774,2830274,2218893,415536,243319,583956,0
207,96469,58564,273967,781435,1708708,2252971,1742649,320405,211627,479413,1
208,294607,194729,835844,2296664,5264858,6764683,5170494,947963,560851,1360187,0
209,134471,87093,390237,1105117,2561003,3291361,2467756,451847,273300,637223,1
210,180257,123772,515614,1447798,3393874,4376273,3279250,601923,342965,824794,0
211,236080,158732,664862,1831607,4274947,5476687,4197356,773517,442896,1085116,0
212,222407,152091,629940,1736155,4062489,5191092,3962832,733892,417504,1023238,0
213,255589,170993,741656,2048246,4668822,5995455,4643452,859723,507490,1231742,0
214,83718,51424,236247,663744,1485063,1935505,1468812,263042,174027,394258,1
215,276375,186667,779890,2138409,5055427,6420894,4715538,853913,500499,1198756,0
216,82902,51502,234426,665668,1511726,1959037,1444780,258479,168834,378622,1
217,148681,102161,424540,1170046,2745413,3484462,2701592,503901,282482,702426,0
218,306741,202286,883751,2420116,5462065,7053619,5443765,999684,602911,1447182,0
