,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
28,35067,267282,205192,26585,2314860,227,3363,3227,7950521,74057,9952,7236,52039,10031,5512,52071,5246905,1,12720,48,0,8403,571,53,6534,6626,8648,935810,2295,2633,0,19064,1280,24022,442482,510183,0
29,31090,237359,184073,23013,2071605,170,2865,2874,7182996,65801,8904,5700,46093,8903,4777,46122,4685966,0,11316,46,0,7606,553,43,5840,5877,7390,839791,1387,2079,0,15418,1096,21850,386333,437064,0
30,44987,342251,264612,34967,3053160,279,4017,4065,10204480,94747,13057,9822,67498,13086,6746,67346,6800955,1,16060,78,0,10837,743,68,8358,8529,10874,1205347,2911,3557,0,26033,1605,30953,579887,675584,0
31,49404,370276,290193,37357,3261235,342,4715,4593,11039178,102644,14537,9804,73099,14225,7718,72860,7222356,1,17451,57,0,11509,891,83,9379,9391,11254,1270050,2619,3667,1,25519,1757,33585,586334,676916,0
32,35060,266390,201751,27297,2348279,214,3163,3189,7931082,74221,9813,7644,52953,9663,5323,52391,5314538,0,12510,49,0,8491,585,53,6469,6352,8478,946112,2223,2759,0,20556,1304,24309,462692,546587,0
33,33702,256679,194103,27503,2193640,234,3102,3121,7469615,72004,9582,8668,50537,9518,5232,50458,4981993,1,12065,55,0,8138,568,50,6428,6231,8386,884360,2922,3100,0,20256,1202,23254,428056,497737,0
34,46023,345640,266360,35489,2992404,308,4241,4239,9990986,96819,13511,9946,68300,13312,7217,68258,6673645,1,16298,70,0,10731,833,66,8686,8801,10716,1186386,2990,3664,0,25241,1658,31476,557983,650202,0
35,47023,366252,273598,38529,3170611,260,4250,4156,10359287,103745,13683,11330,72755,13966,6885,73106,7122022,3,17463,71,0,11323,811,73,8758,8471,11535,1262879,3856,4128,0,28835,1614,32829,619864,736029,0
36,36550,272262,214077,28723,2354326,235,3455,3425,8000139,75879,10809,8630,53843,10617,5720,53784,5244286,0,13484,65,0,8880,673,51,7066,7062,8663,944533,2801,3116,0,19407,1304,25220,427971,485944,0
37,32720,246133,190920,27619,2139375,169,3110,3001,7417240,67973,9443,8947,49270,9298,5129,49069,4817088,1,11506,59,0,7589,601,46,6058,6168,7691,846351,3571,3417,0,20277,1123,22471,402647,453920,0
38,43721,332342,256846,36064,2970732,212,4013,3922,10065097,92861,12615,11350,68127,12576,6456,67491,6636936,1,15457,70,0,10924,766,67,7794,7959,10839,1170351,3809,4330,0,27025,1457,30925,544284,625081,0
39,45952,351341,269976,37466,3190152,254,4167,4044,10774806,97556,13444,11488,71159,13116,6797,71827,7134442,0,16400,63,0,11516,820,65,8268,8099,11547,1245834,4260,4308,0,28152,1458,32701,584525,678497,0
40,33416,260302,190757,26568,2266779,181,2892,2968,7660219,72842,9548,7384,52941,9493,4811,52663,5201347,1,12298,57,0,8665,526,49,5659,5729,8544,928534,2064,2677,0,19025,1036,24327,431423,491775,0
41,44633,338641,261231,33092,3033504,259,3957,4069,10122705,93742,13055,7930,68204,13019,6513,67753,6767310,1,16324,41,0,10702,730,49,8079,8172,10961,1210748,1959,3027,0,22694,1475,32100,545777,634544,0
42,46564,361429,271416,36136,3248773,229,4258,4043,10680403,101025,13688,9425,74026,13495,6451,73923,7296820,1,17325,75,0,12116,781,69,8063,8228,11933,1308887,2261,3627,1,26189,1409,34071,598685,696675,0
43,25609,197751,146036,19875,1786629,149,2121,2086,5985644,54682,6902,5376,40439,6903,3444,40170,4130167,1,9698,37,0,7008,380,34,4539,4428,6942,761280,1354,1985,0,15118,784,19031,362787,420611,0
44,41462,336880,238628,33500,3095954,176,3481,3374,9848369,95828,11607,9993,70689,11779,5110,70602,7082991,1,15727,82,0,11761,606,64,6684,6808,11971,1279515,2692,3803,0,29734,1123,31612,625816,748578,0
45,28102,236892,154644,24359,2156614,105,2260,2271,6765452,67733,7337,7811,50002,7377,3386,49988,5115318,0,10623,33,0,9025,383,42,4295,4163,8833,943176,2190,2880,0,23748,668,21973,488354,582463,0
46,34681,286257,198121,28862,2609313,160,2931,2879,8222485,80883,9615,8664,60042,9565,4357,60262,6040387,1,13306,49,0,10178,503,56,5344,5649,10290,1105013,2315,3291,0,25694,958,27066,547065,649258,0
47,29766,231914,170936,21876,2055130,149,2559,2485,6766416,64601,8333,5421,46605,8189,4083,47007,4707145,0,11256,37,0,8032,454,58,5257,5135,8037,874517,1428,2051,1,16690,959,22312,404957,468204,0
48,33140,249055,193780,23354,2180062,212,2827,2869,7356922,68576,9298,5415,48992,9431,5090,49376,4884432,2,12267,41,0,7803,555,38,6343,6396,7926,890685,1100,1954,0,15320,1166,23778,398656,453639,0
49,46933,353859,278329,33387,3191837,284,4249,4175,10722636,97153,13423,8027,70479,13448,7084,70261,7051583,1,17389,68,0,11221,782,57,8777,8911,11331,1265045,1822,2902,0,22860,1702,33556,568636,654793,0
50,47274,353359,282878,32240,3177229,286,4252,4210,10712159,97448,13677,7408,69064,13845,7258,69383,6968620,1,17508,70,0,11247,870,64,9050,9052,11261,1256596,1469,2809,0,21283,1665,33392,558164,645409,0
51,34919,263269,203194,24558,2351085,201,3067,3070,7934916,72732,9679,5586,52449,9770,5236,52274,5278450,0,12694,55,1,8522,569,43,6453,6466,8527,961254,1304,2233,0,17058,1204,25153,438405,500104,0
52,32247,243963,187303,22672,2142019,182,2815,2791,7286633,67040,9028,5127,47770,9021,4873,47909,4836914,0,11832,30,0,7977,524,38,5851,6091,7945,882656,1139,1910,1,15079,1138,23005,398579,452898,0
53,45082,338153,262906,32186,3026383,269,4012,3998,10136826,93145,13025,7602,67183,13020,6719,67637,6717320,0,16305,56,0,10572,789,68,8283,8456,10847,1207594,1818,2844,0,21560,1545,32248,543675,625374,0
54,46596,357357,272401,33929,3237748,280,4058,4061,10624928,99061,13425,7901,71328,13361,6855,71839,7195975,1,17356,61,0,11799,767,52,8578,8436,11705,1299289,1740,3066,0,23870,1620,33809,599008,697740,0
55,32921,258825,190032,24780,2350163,163,2760,2729,7706274,71787,9120,6635,52443,9068,4505,52782,5382970,0,12500,42,0,9076,499,50,5692,5783,8933,982975,1667,2559,0,20075,1062,24345,469830,549455,0
56,27179,209773,156210,19503,1893539,119,2339,2274,6385709,58529,7480,4782,42461,7549,3883,42651,4368302,0,10227,38,0,7212,436,46,4855,4832,7147,800620,1107,1759,0,15242,905,20349,380127,440316,0
57,18829,192011,78058,28508,1683748,39,1048,1097,3953376,56371,3893,16275,44283,3816,1402,44387,4213424,0,6941,27,0,8131,122,36,1754,1703,8053,794762,8160,6552,0,44910,216,15761,617610,807697,1
58,18915,194800,74399,20915,1765779,35,981,990,4028885,56039,3581,10213,43761,3656,1257,43699,4487679,0,6915,20,0,7770,108,28,1635,1606,7767,853916,4803,4890,0,41968,196,15895,691957,904942,1
59,44613,348862,259281,34567,3138452,203,3749,3802,10322940,97714,12712,9096,70798,12840,6192,71032,7088390,1,16584,72,0,11291,696,63,7686,7654,11403,1264981,2194,3191,0,24867,1351,32691,589457,685575,0
