,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
16,23448,34115,8,52387,7,34260,6,53847,4,13396,13614,21255,21100,13775,13563,21735,21678,330246,62852,323356,64319,320764,62448,329558,66249,598850,777051,759141,592100,585347,758054,777250,604996,596536,234795,701009,229977,572026,226040,699252,234612,90796,90743,70727,69847,87052,86847,68371,69382,48848,30213,49319,15219,48235,29529,47651,14918,323838,215939,0
17,46354,74254,12,101750,11,74786,13,103307,7,26138,26404,42965,42816,26252,26237,43131,43081,691481,116853,675517,131719,677970,118196,690980,133901,1248616,1505667,1471185,1228530,1225643,1488004,1495457,1253778,1262585,456727,1453295,444734,1210486,448070,1447469,454622,173656,174538,151596,149615,167901,167119,147744,150802,108154,49234,107492,33681,104774,48064,104358,33348,693338,443583,0
18,32407,49683,5,75750,3,50074,2,77119,9,17802,18196,29384,29727,17888,18023,30623,30072,494026,86130,479777,89455,480558,86228,490535,92743,855847,1098840,1071781,840498,836106,1087341,1090952,850901,899305,331048,1071993,320543,861306,320941,1073432,327296,132175,132537,107201,105701,126593,127131,104539,106202,81880,41132,82557,21604,80799,39260,79728,21559,523603,315950,0
19,30986,46527,10,71070,5,46120,2,72556,6,17279,17591,28163,28189,17280,17620,28984,28758,459683,81986,448307,85739,446832,82308,456195,87699,813960,1046194,1024738,796711,792990,1031007,1040158,807098,835070,314441,984891,308149,802386,305295,989531,311832,123824,123769,99547,98773,119385,118844,97279,98275,74121,39458,74925,20216,72726,38173,71944,19756,474304,293335,0
20,45106,69604,13,97241,8,69535,11,98059,12,25146,25768,41334,41325,25569,25299,42078,40986,651856,113834,633317,124216,634648,113545,644719,127496,1174651,1437712,1405221,1151662,1151562,1421107,1423540,1171270,1167342,437802,1343037,424125,1122224,425408,1349539,432643,161022,160765,142259,139880,155635,154393,138012,141277,98299,48269,97826,31702,95369,46896,95497,31257,630031,422041,0
21,49562,76102,15,104229,6,76613,13,105751,15,28335,28920,44788,45460,28392,28483,46714,45554,682176,120770,663113,133588,663671,122047,678527,136546,1253544,1518911,1475941,1237688,1224150,1493883,1513295,1256435,1216160,466699,1393174,452459,1169034,451896,1397504,464569,166761,166885,146873,144644,161180,160004,144209,147293,98150,51990,97874,34522,95900,50488,95911,33991,634488,461105,0
22,35878,52731,16,78587,6,52163,5,79774,13,20177,20409,32961,33168,20664,20218,33600,32851,487045,91017,481294,95759,477704,91921,487100,98084,884788,1141798,1129320,878636,871840,1133041,1145426,896056,865667,345362,1032639,342031,838024,338189,1025291,344418,128158,129023,102437,101877,124675,123647,99912,100650,69701,42330,69972,23062,69748,41382,68238,23136,455990,330891,0
23,30366,44496,6,70005,9,45077,9,71048,3,16412,16826,26385,27008,16765,16830,26996,27102,431868,77572,421260,79009,423254,77757,433620,80474,752371,989309,968767,743191,743237,976932,992769,761602,781821,300934,945357,292380,755514,293438,946109,301377,115611,115775,92137,90916,111909,111787,91231,92521,74498,37287,74327,18561,71859,36638,72352,18511,468427,295388,0
24,46750,76328,12,104372,10,76184,6,105088,5,26153,26293,41770,42135,26062,26821,42611,41678,692266,111574,679091,123494,672976,111593,683881,126187,1214059,1460114,1437481,1198143,1190944,1439493,1449326,1223503,1269433,451949,1479446,443662,1223896,441146,1454374,450154,165573,167101,154471,152699,163068,161206,149121,151386,115075,47126,118536,32192,116702,46473,114103,31673,733271,467261,0
25,34625,53666,5,78839,6,53911,8,79523,6,19272,19483,29963,30268,19126,19829,30600,30302,491110,84622,480941,86915,482213,85529,489284,88469,851588,1092605,1067745,833897,844800,1078655,1084779,858654,897714,337333,1066941,328975,866475,329561,1063348,335404,126683,126834,106675,106205,123680,122863,105469,105769,83281,38756,83991,21588,83163,38083,81748,21255,523094,346374,0
