,Length,y
0,4982,0
0,6718,0
0,7036,0
0,5456,0
0,4860,0
0,6718,0
0,7208,0
0,5360,0
0,4818,0
0,6774,0
0,7188,0
0,5138,0
0,4936,0
0,6602,0
0,6960,0
0,5702,0
0,5390,0
0,6448,0
0,7214,0
0,5356,0
0,4804,0
0,6750,0
0,7006,0
0,5492,0
0,4948,0
0,6724,0
0,7172,0
0,5046,0
0,6974,0
0,6956,0
0,5344,0
0,5064,0
0,6502,0
0,7300,0
0,5288,0
0,4874,0
0,6772,0
0,7222,0
0,5180,0
0,4910,0
0,6694,0
0,7152,0
0,5208,0
0,5186,0
0,6760,0
0,6946,0
0,5530,0
0,5090,0
0,6612,0
0,7188,0
0,5230,0
0,4880,0
0,6888,0
0,6798,0
0,5298,0
0,6816,0
0,7486,0
0,5146,0
0,5138,0
0,6674,0
0,7038,0
0,5384,0
0,4884,0
0,6668,0
0,7224,0
0,5374,0
0,4766,0
0,6920,0
0,7050,0
0,5462,0
0,4948,0
0,6796,0
0,7082,0
0,5344,0
0,4982,0
0,6852,0
0,7170,0
0,5404,0
0,4958,0
0,6770,0
0,7074,0
0,5196,0
0,5092,0
0,6648,0
0,7220,0
0,5504,0
0,4738,0
0,7002,0
0,7098,0
0,5294,0
0,6676,0
0,6930,0
0,5368,0
0,4912,0
0,6670,0
0,7010,0
0,5462,0
0,4894,0
0,6726,0
0,7286,0
0,5422,0
0,4920,0
0,6818,0
0,6966,0
0,5390,0
0,4954,0
0,6668,0
0,6030,0
0,8626,0
0,6300,0
0,5236,0
0,5924,0
0,5386,0
0,4730,0
0,6780,0
0,7180,0
0,5208,0
0,4846,0
0,6774,0
0,7226,0
0,5274,0
0,4924,0
0,6940,0
0,7112,0
0,5398,0
0,4878,0
0,6896,0
0,7186,0
0,5314,0
0,6940,0
0,7252,0
0,5426,0
0,5058,0
0,6912,0
0,3132,0
0,3938,0
0,5406,0
0,4906,0
0,6778,0
0,3406,0
0,3976,0
0,5266,0
0,5008,0
0,6980,0
0,6302,0
0,1872,1
0,4490,0
0,4950,0
0,6858,0
0,7228,0
0,5420,0
0,6790,0
0,7466,0
0,5446,0
0,5262,0
0,6768,0
0,7258,0
0,5200,0
0,5000,0
0,6794,0
0,3894,0
0,3388,1
0,5330,0
0,5018,0
0,6904,0
0,7224,0
0,1860,1
0,3380,0
0,4968,0
0,3104,0
0,3722,1
0,7256,0
0,5328,0
0,4868,0
0,2790,0
0,3396,1
0,2306,1
0,5720,0
0,4630,0
0,5826,0
0,3266,1
0,3822,0
0,6432,0
0,2282,1
0,1872,1
0,1854,1
0,3594,1
0,4572,1
0,4038,0
0,4214,0
0,2946,1
0,2592,0
0,2772,1
0,1858,0
0,3188,1
0,1854,0
0,5322,0
0,1868,1
0,5510,0
0,5040,0
0,6726,0
0,2166,1
0,1866,1
0,3344,1
0,5560,0
0,5102,0
0,2652,1
0,4280,0
0,6310,0
0,3234,1
0,3046,0
0,2290,0
0,1854,1
0,2166,1
0,3156,0
0,2470,1
0,2788,1
0,4558,0
0,5328,0
0,3992,0
0,4326,1
0,3532,0
0,2462,1
0,1874,1
0,2860,1
0,5380,0
0,4560,0
0,3106,1
0,4038,0
0,4156,1
0,2892,0
0,3554,0
0,1850,1
0,6714,0
0,7270,0
0,5268,0
0,3148,0
0,1846,1
0,3912,0
0,2790,1
0,7344,0
0,5322,0
0,4930,1
0,1746,1
0,4906,0
0,3614,1
0,3674,0
0,5406,0
0,4920,0
0,6758,0
0,7174,0
0,5162,0
0,5178,0
0,3586,1
0,2990,0
0,7244,0
0,5144,0
0,5004,0
0,6856,0
0,7122,0
0,5062,0
0,6956,0
0,5410,0
0,1864,1
0,5334,0
0,5132,0
0,6882,0
0,7276,0
0,5314,0
0,5372,0
0,5054,0
0,6782,0
0,7138,0
0,5390,0
0,4988,0
0,6682,0
0,7310,0
0,5290,0
0,4816,0
0,7352,0
0,5160,0
0,5116,0
0,6642,0
0,6142,0
0,4934,0
0,7178,0
0,6772,0
0,4926,0
0,5206,0
0,7198,0
0,6726,0
0,4960,0
0,5250,0
0,5118,0
0,2344,1
0,6496,0
0,4968,0
0,5226,0
0,7202,0
0,6826,0
0,4938,0
0,5252,0
0,7236,0
0,6812,0
0,4962,0
0,5280,0
0,7204,0
0,6804,0
0,4904,0
0,5276,0
0,7196,0
0,6786,0
0,4976,0
0,12484,0
0,6230,0
0,2592,1
0,2554,1
0,3240,1
0,2960,1
0,6580,0
0,6774,0
0,4930,0
0,5254,0
0,7160,0
0,6768,0
0,4890,0
0,2089,1
0,3452,0
0,2858,1
0,2987,1
0,4553,0
0,6512,0
0,5608,0
0,1827,1
0,3518,0
0,1852,1
0,4050,0
0,6720,0
0,7103,0
0,5170,0
0,4802,0
0,5293,0
0,1862,1
0,6485,0
0,5300,0
0,4828,0
0,5015,0
0,2195,1
0,5937,0
0,1858,1
0,3735,0
0,3555,0
0,1830,1
0,6102,0
0,6648,0
0,1815,1
0,3527,0
0,1798,1
0,3495,0
0,6582,0
0,2855,1
0,3995,0
0,2665,0
0,2733,1
0,5715,0
0,2412,1
0,5010,0
0,2785,1
0,2063,1
0,1822,1
0,1715,1
0,1835,1
0,2944,0
0,3067,1
0,4063,1
0,5165,0
0,4895,0
0,5725,0
0,1842,1
0,6000,0
0,1833,1
0,2997,0
0,1780,1
0,5218,0
0,6940,0
0,5287,0
0,4513,0
0,1817,1
0,5100,0
0,4013,0
0,3030,1
0,5012,0
0,4273,0
0,3837,1
0,3918,1
0,3255,0
0,3190,1
0,2267,1
0,2910,0
0,4735,0
0,6733,0
0,6835,0
0,5417,0
0,4408,0
0,4002,1
0,2955,0
0,5353,0
0,2067,1
0,4685,0
0,4905,0
0,6453,0
0,7087,0
0,5143,0
0,4777,0
0,6118,0
0,4537,1
0,3060,0
0,5058,0
0,4852,0
0,2343,0
0,4317,1
0,2600,1
0,4273,0
0,5207,0
0,4830,0
0,6553,0
0,6600,0
0,2812,1
0,2663,1
0,2392,1
0,2470,1
0,3280,1
0,3285,1
0,3428,1
0,3562,1
0,2555,1
0,3135,1
0,5953,0
0,4052,0
0,3003,1
0,2630,1
0,2620,1
0,2402,1
0,2718,1
0,4040,1
0,2145,1
0,3550,1
0,3610,1
0,2357,1
0,2740,1
0,2668,1
0,2795,1
0,6025,0
0,4185,0
0,3430,1
0,4565,0
0,4512,0
0,3065,1
0,4545,1
0,2518,1
0,3245,1
0,8427,0
0,7558,0
0,6912,0
0,6715,0
0,4840,0
0,6628,0
0,7295,0
0,5160,0
0,4502,0
0,3825,1
0,3018,1
0,2292,1
0,4868,0
0,5290,0
0,4840,0
0,6735,0
0,7025,0
0,5350,0
0,4800,0
0,6677,0
0,4185,0
0,2825,1
0,2040,1
0,1825,1
0,1328,1
0,4912,1
0,3268,1
0,3950,1
0,3992,0
0,2960,1
0,4710,0
0,4885,0
0,3420,0
0,3233,1
0,3565,1
0,3245,0
0,1795,1
0,3800,0
0,4805,0
0,6387,0
0,4328,1
0,2957,1
0,5170,1
0,3590,1
0,4310,1
0,2828,1
0,2920,0
0,4965,0
0,5030,1
0,4442,1
0,4505,1
0,1458,1
0,3330,0
0,5172,0
0,4920,0
0,6208,0
0,4062,1
0,3350,1
0,3220,1
0,2640,1
0,3825,0
0,3825,1
0,3148,0
0,7177,0
0,5035,0
0,4823,0
0,6375,0
0,3672,1
0,3618,1
0,2372,1
0,2665,1
0,2300,1
0,2703,1
0,3170,1
0,3345,1
0,3815,1
0,3170,0
0,5410,0
0,4770,0
0,6262,0
0,4445,1
0,2960,0
0,5095,0
0,4883,0
0,6645,0
0,4557,1
0,2985,1
0,4653,0
0,4902,0
0,6470,0
0,4663,0
0,3045,1
0,4302,0
0,4808,1
0,3240,1
0,3390,1
0,3367,1
0,3725,1
0,4580,1
0,1815,1
0,2688,1
0,2707,1
0,4025,1
0,3375,0
0,5128,0
0,4552,0
0,3633,1
0,3055,1
0,3442,1
0,3440,1
