,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
10,0,0,0,0,5,63,234,490,1190,3330,6249,10353,16060,24551,35855,50492,69064,89117,112403,139683,168756,197636,230119,262392,292632,321669,351173,375615,399651,418485,437681,452346,467077,482038,493933,507957,521598,533495,545967,557514,568741,575051,582750,587089,587293,582700,573267,562147,542645,513620,476486,429051,378563,331941,290568,255905,226128,201005,178493,159289,142720,126991,112621,101352,91686,81742,73923,64393,56246,48657,40061,31812,23554,16394,10125,6084,3512,2122,1235,803,529,391,235,179,138,102,89,67,46,27,12,6,8,10,5,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,6,37,98,236,499,1073,2842,6000,10626,16931,26124,36852,49068,64675,82765,103791,127418,152648,178706,204941,230843,258571,285886,313190,336905,360021,384738,406469,429415,449610,468394,487593,506521,519205,529822,538143,544894,548977,547599,542595,539397,528243,517328,504408,486170,464496,440381,414741,383204,347423,312857,279064,247574,219131,194088,171049,152173,133451,118245,104662,91098,78532,68177,58151,48316,40269,33164,25827,19635,14447,10401,7470,5403,3830,2702,1824,1337,1042,730,530,444,301,221,170,157,143,123,129,112,109,74,78,69,72,37,31,16,4,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,13,41,125,513,1291,3202,7645,13946,22180,34610,50718,66727,87032,110680,139885,172328,207839,245881,285622,325149,366472,403251,437614,473352,507047,537938,565605,590278,618514,644222,670853,695721,719828,740601,760301,776173,788912,798165,805347,806615,801654,787055,767276,739253,701244,653479,593161,532748,472405,417305,368212,324354,286927,252335,220972,194868,170959,149474,131164,114924,101399,90338,80397,70258,61357,51808,42794,34391,26560,20443,15650,10765,7154,4772,3123,1906,1220,889,569,374,258,205,149,147,134,100,91,67,54,41,30,18,13,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,1,12,21,35,70,142,378,1287,2831,5547,9616,15829,24420,37021,51371,68487,89277,113930,142001,175893,211457,250275,291300,333478,376878,418672,460518,500729,536950,573307,609539,643562,675429,704885,734892,765662,791207,814168,830150,841498,846866,842053,832358,818571,796877,770048,733997,694341,653666,608748,561723,513792,467366,421971,376369,333189,293768,260429,229352,201521,176599,155247,134791,116130,98499,84031,70149,59114,48636,38285,30188,22406,15833,11210,7892,5410,3939,2693,2044,1377,1009,678,435,285,222,199,145,111,79,61,35,10,6,10,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,1,37,59,71,89,125,354,877,2367,5014,9347,15174,22536,32359,45868,61524,81076,104290,131434,161570,193213,226799,260387,291048,318804,346014,368569,389322,410088,431331,449588,468031,486660,505019,523651,542072,562573,581367,595710,606393,612583,612158,601677,589084,568078,537451,498702,458219,414069,374227,332969,297022,260164,230851,202016,175610,152749,133450,116934,102908,90246,80610,70694,61834,54698,47734,40495,33542,26438,20675,15001,11195,7888,5221,3646,2213,1467,1002,800,590,474,354,262,206,167,160,135,104,96,96,84,63,33,18,13,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,2,18,59,410,1180,2719,4396,3596,2076,1387,1449,2085,3321,5046,8068,14222,23591,37423,58010,81748,108085,131463,155143,181239,206665,230324,253006,277944,302965,325779,351933,373099,392346,411395,423685,430372,432320,436214,427361,413117,390090,367594,338479,305118,267522,226559,182756,147052,118344,95734,78629,66794,58869,50425,43083,37377,32457,27557,23124,18620,15427,12564,10024,7978,6139,4644,3603,2320,1340,715,323,204,97,50,35,28,17,11,11,12,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,4,74,497,1249,1213,1166,2299,4653,8010,12443,18260,26078,36107,48154,62924,78144,95596,116066,137617,159293,183744,207278,228717,251921,274084,294150,313508,332326,349500,365252,380341,393244,405501,418072,425313,430958,434743,434315,432487,427793,414395,398595,380665,361523,336061,306408,276737,245861,218419,193041,170208,151679,134368,119938,107084,95528,84588,74769,66305,58185,51146,45171,39565,34492,30013,25352,21124,17255,13732,10791,8089,5502,3916,2623,1875,1366,875,684,453,348,206,132,98,60,61,43,48,11,9,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,5,14,57,386,1184,3148,6658,12960,23235,37404,55741,75884,101859,132710,167414,208523,254488,302811,354136,403446,452162,498951,537423,572347,603264,629883,656541,678069,698181,713662,733559,750516,764643,779163,796879,808583,821041,826104,828440,819244,806647,788320,761344,721836,673699,618596,553683,491714,431376,379759,332816,291532,258870,230906,205338,182472,164914,146461,129214,114809,102372,89367,77969,68016,58323,49939,41803,34461,27168,20885,15357,11513,8078,5386,3627,2541,1933,1421,913,591,403,239,184,125,77,73,57,39,30,27,13,11,7,10,8,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,2,29,196,586,1836,4736,8919,16134,25861,39276,56307,75640,98737,128067,159676,194983,233454,275337,318513,356504,392616,427081,456442,480191,500788,516657,530221,544459,554531,565273,578999,591324,596489,605015,610118,612634,612093,604359,589398,568326,541788,512150,476179,435212,388919,344223,303955,265223,231158,201523,176861,156496,138129,121854,107440,94672,83769,73310,62953,54415,47329,40371,33799,27733,22692,18049,13920,10855,8300,6052,4106,2836,1973,1280,813,556,393,348,268,235,191,128,85,64,32,22,16,6,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,9,59,328,1233,3028,5641,9978,17704,28949,41975,56551,75697,98753,124691,153021,185782,219834,254314,290805,325985,355809,382967,406834,427766,447639,466395,483899,498466,514512,530299,544189,555509,565767,575628,580262,580115,578552,571812,559429,541765,517232,488773,455731,416710,371292,327277,286073,248743,215506,188587,166121,146909,130027,114530,101115,90131,81019,72655,64987,56997,50545,43151,37058,31235,25493,19855,14870,11222,8277,5766,3650,2687,1834,1249,1017,659,468,379,307,261,176,132,102,80,49,32,26,17,17,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,19,76,246,853,2135,5029,9354,16159,26624,39856,55565,73659,96220,122825,153463,185893,223141,266224,307143,349301,390478,428683,469377,505145,541214,573415,604396,632820,660144,685871,712471,738369,762635,780934,796457,806832,816578,820922,815555,803308,785437,760576,727014,682356,632113,575857,520343,465427,411238,364971,320452,279779,243848,212401,183998,160400,140881,122955,106548,93607,81345,70417,60859,51678,42544,34518,27747,21629,16819,12251,8943,6708,4594,3138,2218,1604,1126,755,472,314,226,179,143,88,55,31,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,2,13,59,211,522,1188,2412,4565,8302,13827,21105,30131,41674,55181,71594,89541,111012,134043,159881,188012,220528,256262,295056,335045,376581,414083,455137,495595,535882,573585,607931,643492,676614,709982,742111,772129,801193,820908,841004,851837,862427,863177,866506,856193,839704,814324,780921,738096,690393,635586,577023,521187,463933,412157,364103,319373,277589,241091,208662,181002,156087,135100,115513,98937,83771,70003,58368,46968,36881,29345,22296,16832,12202,8579,6096,4283,3052,2095,1663,1172,916,725,544,464,322,290,257,242,206,174,179,147,153,142,128,127,131,146,105,73,85,77,63,58,57,62,60,52,27,31,16,13,8,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,7,12,17,19,31,66,201,962,2770,5517,9168,13958,20039,28615,38811,50332,65207,81612,100816,121170,142622,166243,192557,220730,251846,281785,315699,346963,377259,407573,437617,466903,496138,521999,544558,567801,591002,607424,620461,631017,636075,639715,636107,630431,621144,605326,584832,555800,521457,482154,440840,400494,361173,321661,284606,249249,218348,189295,164034,140900,121481,104088,89357,77113,66186,55918,46771,38570,31810,25136,19554,14743,10528,7989,5597,3988,2935,2097,1459,1097,847,600,404,296,182,155,127,80,78,52,27,16,15,16,4,5,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,66,380,726,743,1170,1806,3642,6515,10738,15891,22109,29927,38737,50366,62644,77163,94611,115184,137373,160672,186342,212520,237074,262110,288079,310916,333723,354753,377771,400848,423246,446693,472734,503155,528961,554311,571741,587678,598685,603849,602643,594444,578172,554283,521562,482865,439757,396293,358170,321413,287587,256776,227463,200390,174690,152258,132747,114138,97853,82803,68182,56197,45362,37647,30328,24162,18601,14131,10645,8059,5801,4213,3078,2232,1495,952,618,378,250,156,121,84,71,65,34,32,28,16,20,24,13,11,10,9,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,2,13,18,40,155,687,1870,3417,6311,10588,16465,24352,35025,46653,60697,75840,92651,112261,134407,161146,190695,225493,261662,300981,340074,380251,422594,463187,504068,544324,584010,625338,666844,708180,750128,795593,838187,878919,916377,947265,960859,967796,961596,943257,916866,875755,825365,773070,708673,641318,573385,506903,442620,386047,333431,288113,248207,214399,184797,160043,136515,117359,99801,85103,71246,59342,47625,37879,29771,21980,15908,11576,8050,5469,3579,2320,1571,1082,712,440,252,150,116,90,59,36,32,33,29,19,25,20,17,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,30,261,677,1696,3709,5994,6738,6928,6994,7465,8198,9481,12139,15951,20899,26846,33585,41202,49803,59739,71517,84288,97830,113385,131336,152192,174470,197881,222914,248768,275294,301944,330387,358509,386551,414672,444703,477975,511945,550012,586631,623875,660827,696185,723366,741161,742067,728682,701720,665723,626735,580729,534164,485761,436396,386251,337900,295253,255020,219054,187073,160816,135908,116093,97201,82372,68967,55468,43936,33979,25888,20274,14634,10736,7971,5707,3839,2583,1676,1171,820,574,376,245,198,110,60,52,44,37,31,46,49,37,30,25,34,37,40,25,25,25,23,26,27,28,31,45,24,47,40,45,39,39,45,44,40,61,55,60,44,31,32,33,17,4,0,0
26,0,7,43,84,217,520,719,845,1267,2247,4009,6926,10718,15141,20890,28464,37265,46885,58427,71597,85551,102064,120705,140151,161492,185294,209877,235551,262288,291095,319252,348930,375352,402846,429510,457985,485832,513135,542272,567976,595841,619973,643231,665638,679558,686695,687578,672980,645690,602611,553675,501364,449554,397714,347394,300810,257724,219284,186177,156573,131282,108665,89147,72445,59494,47943,38828,31624,26017,20789,16022,12751,10011,7636,5759,4231,3290,2242,1582,1153,915,741,525,375,261,176,109,77,56,52,46,45,43,54,25,25,23,12,8,6,3,4,2,1,4,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,14,58,107,208,295,310,734,1517,2998,5520,9147,13870,19706,26463,34323,42393,51778,64487,78596,94392,109691,127019,148492,170616,194319,218286,241596,266619,291669,312983,337269,360334,382897,407502,430498,455712,482135,509744,532835,551472,565096,574545,578502,573784,562433,544527,522653,496686,468296,438360,410595,381996,353695,322567,290016,257416,224811,193065,163995,138469,114323,93876,76579,63044,51587,41818,32996,25665,19844,14331,11033,8331,6579,4977,3636,2697,1914,1196,790,547,367,234,143,106,61,53,29,36,24,16,14,17,13,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,3,31,84,259,943,2152,4205,7738,13029,18960,26843,36402,47570,61133,76237,92999,113485,135421,158714,182839,208384,233870,260367,287596,315220,342140,374052,404363,435575,467478,500279,532710,569164,605709,638450,668282,691897,704937,710001,706931,693804,675701,651223,622081,583481,535770,491294,442579,394332,353280,313030,275469,240721,208106,180426,156904,135298,115884,98992,84227,71827,60190,50236,41671,33664,27001,21270,15665,11211,7470,5260,3579,2307,1614,1101,647,403,297,248,179,152,106,89,92,51,50,25,22,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,10,11,52,81,282,607,1478,3262,6423,10549,16080,23241,32344,41442,52571,64593,80071,98724,120542,144416,169519,198007,227175,256922,284774,312285,338103,364319,388866,413099,436375,459106,483934,508541,533929,559011,581125,595882,606438,611337,609994,601725,585394,567650,541896,508720,469983,431805,388867,345906,305881,270361,238310,210705,183534,160779,140031,122939,107350,93875,81180,69604,59323,49948,41625,33394,26436,20487,15968,12172,8820,6290,4656,3191,2551,1722,1198,796,539,346,214,109,58,44,38,30,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,5,27,111,296,822,1874,3842,6974,11520,18585,28533,41650,57415,75569,97404,121454,148079,179728,214596,254038,297582,342059,388659,431119,474118,511697,547493,577632,604139,630941,653033,672842,690155,710903,733690,754356,776349,797725,819863,836460,849865,859155,854732,835802,799465,742832,668128,587807,513311,444901,385474,335299,294305,258565,229300,203392,179184,158184,139163,121074,105195,91698,80584,69970,60101,50409,42322,34338,26780,21239,15941,11263,8105,5689,3810,2382,1565,885,551,365,256,172,142,101,113,91,68,28,22,14,7,4,9,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
