,0,1,2,3,4,5,6,7,8,9,10
93,101072,18975,24290,26702,32673,45422,32389,28627,45354,195920,1
94,90653,18939,19391,21112,24090,35884,27495,27260,40084,195828,1
95,130067,21370,28031,32982,41924,56978,38081,31201,57527,249967,1
96,158205,30060,32259,34811,31985,48911,41983,44527,66832,362907,1
97,86949,16299,19307,21331,22884,32764,25900,23122,37663,173045,1
98,71251,12113,15784,17955,22440,30772,20852,17422,31671,132988,1
99,107707,19646,21295,24576,24764,36437,31065,27686,49266,235094,1
100,182901,37489,38927,41944,52594,74587,55656,54487,81598,384361,1
101,76499,17482,17969,19878,22019,30884,24497,26169,34567,170868,1
102,89748,15063,16826,19667,21083,29840,24716,20190,39240,185963,1
103,108716,22207,21073,21372,20186,31202,26313,29399,45561,248435,1
104,86568,15711,15850,18121,20393,29586,23094,20576,37309,178232,1
105,147536,27144,28779,32925,36512,53293,41360,34967,66054,294822,1
106,173298,34106,39899,43478,45726,65496,52356,49285,75885,342071,1
107,100241,19472,23911,27116,31860,44843,33337,29371,45172,196101,1
108,123955,20396,26539,30866,36224,50284,35484,29071,55129,231028,1
109,91964,15973,17079,18883,21462,29801,23723,21477,38967,179935,1
110,91629,16179,17958,20426,22285,31486,25923,22730,40190,190426,1
111,113191,18481,24102,26482,32037,44764,30291,26748,49362,210542,1
112,80219,14629,15872,17433,18901,26351,21570,20366,34479,167972,1
113,153658,27681,30830,33688,31618,46741,40700,41422,64515,337083,1
114,106274,23788,28795,31541,36234,48398,37102,35335,50036,215361,1
115,162369,34269,40208,45103,51436,70895,54458,52156,73543,337163,1
116,73423,12820,14285,15891,17728,24445,19283,17718,31906,147285,1
117,140254,25070,29855,31745,35573,48486,36706,34672,60232,267039,1
118,87853,15479,16249,18352,18586,26549,21986,20220,36623,180471,1
119,167865,32250,35745,39583,41310,56784,46765,44436,71637,342217,1
120,138784,26403,30893,33414,41674,59984,41662,37239,61801,277714,1
121,86529,16179,19718,21580,26163,35350,25597,23562,38689,167433,1
122,104039,18914,20249,22826,24492,35605,27556,25256,45348,207171,1
123,94908,18818,20444,22674,21249,29642,26306,25379,41413,201439,1
124,112611,26453,34623,38195,46738,65634,46295,41991,54190,222934,1
125,157410,29430,35644,39052,41591,57626,44176,43139,68870,334006,1
126,114602,24366,25051,27916,24851,36166,35043,34226,50405,258670,1
127,171049,33279,37485,40772,40984,58260,46727,47633,75137,357986,1
128,94178,16564,18604,21687,23248,33068,27452,23336,42246,198817,1
129,80554,14049,15803,17155,19799,27625,21494,19972,34524,162209,1
130,81735,15062,16087,17428,19192,26586,21186,19906,35381,163693,1
131,80700,14256,16144,18133,20162,27958,22606,19424,36392,160481,1
132,81206,13928,15846,17478,18679,26334,20962,19991,34778,160910,1
133,161713,32671,33905,36357,32425,48950,43819,46939,68903,371374,1
134,85157,16546,18502,20839,25282,35187,25619,24027,37849,170256,1
135,53442,9322,10053,11619,13045,18447,14887,12633,23234,106726,1
136,116607,23824,27584,31039,35172,50275,38269,34928,53210,238820,1
137,136015,26918,31924,36385,45120,64671,47127,40566,62262,277012,1
138,121526,21986,23863,26601,26006,38258,32317,32351,50603,262393,1
139,139176,24582,27137,35255,36124,61261,50267,43312,71332,337922,1
140,117754,21832,25911,28969,34375,48855,35135,30932,52692,230233,1
141,91528,16006,18415,20461,22309,31397,24105,21352,38976,177787,1
142,160902,31417,43336,59907,53307,77436,79081,59622,91164,377556,1
143,110490,19248,21450,24534,26638,38201,30596,26194,49204,227909,1
144,84357,16520,19230,20936,25622,37030,26501,24219,37360,169025,1
145,124529,27632,26317,29042,26131,38855,37563,37625,54138,287832,1
146,130761,24373,28178,31187,34565,49103,37491,35226,57880,263972,1
147,111390,19435,22030,25313,26483,38026,29929,26506,47558,230866,1
148,120340,21029,24169,27747,29873,41663,34630,30123,53124,248598,1
149,175852,28691,39807,45708,57639,77333,51029,43513,80017,320475,1
150,132544,27561,35532,39479,46962,64983,47427,43043,61607,267326,1
151,104186,17139,21908,25553,29523,40739,29331,24291,47302,193020,1
152,105163,17768,20699,24252,26153,36412,30764,25501,47289,215887,1
153,103550,18715,22077,24711,29219,41994,30149,28007,45739,207263,1
154,86091,14682,15468,17390,19194,27045,21741,19282,36897,173826,1
155,259621,77327,83004,129780,100270,127818,191074,104233,135089,636520,1
156,143486,25698,32249,35371,43396,60720,43383,37591,64427,270927,1
157,299681,53972,75325,91155,95983,132458,100104,77591,147827,555600,1
158,159580,32167,33785,37309,30582,45588,44456,46057,69032,370820,1
159,122465,25466,31453,34665,39493,54987,42004,38541,56449,248749,1
160,147072,27324,27523,31046,33400,47968,39106,35971,63280,303022,1
161,169663,35795,43652,50660,56342,79722,64163,56648,80416,365947,1
162,150467,33589,35877,39701,47504,62983,47159,45041,69409,299246,1
163,122428,22365,23922,25629,23253,34941,30957,32616,51082,271783,1
164,145512,26165,29666,36352,39398,55435,45096,38403,67208,341597,1
165,67967,11712,12771,13851,15731,21505,16709,15546,28418,138318,1
166,122743,21168,23710,27077,30526,41584,32558,30306,52875,247213,1
167,104339,20785,21496,23632,20289,30659,28596,29662,44801,240989,1
168,118929,23997,26972,30051,35730,48728,36578,35128,53009,243678,1
169,50995,10898,13153,15393,18720,27011,19661,17116,23617,110636,1
170,105132,18402,20425,23400,25168,35536,29733,26428,46869,218795,1
171,118424,21709,25652,28255,35033,50892,35635,31327,53086,228211,1
172,176203,31476,35542,38857,47527,70488,49456,44677,77781,349593,1
173,122362,21473,24024,26410,25709,37937,31670,31947,51185,266259,1
174,118150,22230,24260,27009,31808,44152,32159,29976,51639,233017,1
175,160349,30448,33776,36209,37339,52798,42828,42257,67807,322557,1
176,73464,13225,14208,15829,17489,24683,19659,17631,32765,147367,1
177,77155,14922,19325,21524,26047,36185,26403,23224,35110,150185,1
178,78586,13934,15163,17493,19767,27670,21912,18855,35165,164639,1
179,77195,14015,15380,16392,18415,25709,20245,19380,33356,160809,1
180,86299,20800,25004,31150,32581,44069,37729,30411,41564,191065,1
181,135508,23543,27494,30081,35834,49098,36808,33679,59314,261377,1
182,97353,16919,18582,20721,23717,33261,25740,22523,42500,200956,1
183,112748,20398,24746,27132,32966,46054,33363,29893,49743,217389,1
184,84023,14634,15338,16670,20173,27689,20545,19457,34967,170440,1
185,156365,30554,32173,36949,35588,51580,45566,42538,67523,330604,1
186,119079,27564,32840,35084,41115,55250,39914,39475,56230,243113,1
187,121588,21906,23124,27014,29060,41593,33936,29843,54274,259710,1
188,107259,18957,21124,23218,25186,36611,28406,26751,45882,218030,1
189,107810,22208,27367,36292,41234,58456,47801,36651,55378,258003,1
190,118537,29006,35337,47622,34923,45604,62053,39008,59477,273393,1
191,66573,11706,14604,15867,20130,28424,19136,16753,29380,124563,1
192,94651,19626,20389,21488,27324,39507,29278,28244,42665,189852,1
193,148732,26748,31348,34177,39135,52505,38592,36722,62750,281931,1
194,80029,16439,21033,23572,29285,40683,29341,25642,37500,157276,1
195,140657,25459,28018,30363,28541,42669,35847,37991,58019,312788,1
196,84744,14842,16652,18360,19854,27259,20967,20073,35174,167547,1
197,90494,15459,17172,19631,21615,30903,24231,21379,39357,179023,1
198,165157,35475,40807,44574,49061,67834,55051,50846,74943,334780,1
199,103334,20333,25164,27133,34379,47029,32319,30462,45549,202618,1
200,68685,12136,14794,15352,17892,24172,17327,16438,29130,128138,1
201,94169,18241,22278,29018,33729,49874,40570,33475,49183,211607,1
202,293999,51485,59461,67637,70312,99999,83303,71907,127193,584592,1
203,157854,31342,32057,34149,34651,50022,41892,44109,66295,357037,1
204,141276,39031,47979,52672,61550,86005,68365,63385,69549,290252,1
205,161846,30459,36611,38560,40968,58218,44614,44617,70356,321623,1
206,149121,25055,29213,32112,38594,55140,39392,34104,65417,292172,1
207,118402,23072,31757,41323,45112,60909,52220,37181,61789,240939,1
208,97272,17372,19089,21807,22630,31910,26940,23616,42244,204000,1
209,121077,21110,27381,29973,36866,50848,34718,30622,54266,225971,1
210,285382,88325,95461,114443,106129,149336,147955,130149,146644,668464,1
211,118751,20512,25835,29019,37787,51586,35420,31567,53923,223824,1
212,162595,35218,31534,33065,30329,46781,40835,44582,67714,375187,1
213,120021,27870,32267,34687,40309,54522,40375,39846,55951,243816,1
214,115827,19559,23395,30937,33088,53567,43770,35180,57416,281533,1
215,176017,33643,35893,37679,36876,54222,45804,48077,73699,378154,1
216,96456,19946,19559,20913,20426,31788,26099,27779,41455,227035,1
217,130681,23961,29878,32419,39631,55805,39107,34382,59878,243922,1
218,130067,26091,35047,44610,41534,55258,51764,38596,65570,267175,1
219,118283,22103,25571,28719,31820,45100,35337,30649,52013,237093,1
220,182003,31618,40420,53240,67265,101653,76766,58176,91838,402941,1
221,93417,16621,19015,22135,23221,32575,28365,23984,41927,197940,1
222,103200,23633,28113,31014,40714,57148,39746,35915,48397,204984,1
223,79687,16465,19852,22515,26970,38760,28380,25910,36951,165310,1
224,99992,17874,20279,23966,26502,37837,30959,25743,45734,207178,1
225,93074,15263,18762,20263,24132,32585,23153,20982,39681,171369,1
226,145427,28620,35225,40921,49501,69753,50592,45186,66449,296230,1
227,79639,18238,21808,23646,28013,38090,28232,26224,37380,159530,1
