,0,1
0,5.0,1
1,7.5833,1
2,7.5,1
3,10.0,1
4,7.5,1
5,7.5833,1
6,7.5,1
7,10.0833,1
8,6.0,1
9,17.5833,1
10,12.5833,1
11,10.0,1
12,10.0833,1
13,12.5833,1
14,12.5833,1
15,10.0833,1
16,15.1667,1
17,15.0833,1
18,10.0833,1
19,15.0833,1
20,15.0833,1
21,12.5833,1
22,17.5833,1
23,14.0833,1
24,17.6667,1
25,15.0833,1
26,12.5833,1
27,17.5833,1
28,7.5,1
29,10.0,1
30,12.5833,1
31,5.0,1
32,8.3333,1
33,15.1667,1
34,12.5833,1
35,15.0833,1
36,7.5833,1
37,17.6667,1
38,6.5833,1
39,12.5833,1
40,12.5,1
41,12.5833,1
42,10.0833,1
43,10.8333,1
44,7.5833,1
45,10.0,1
46,15.0833,1
47,15.0833,1
48,7.5833,1
49,10.0833,1
50,12.5833,1
51,17.5833,1
52,12.5833,1
53,7.5,1
54,15.0833,1
55,7.5,1
56,10.0833,1
57,15.1667,1
58,7.5,1
59,13.0833,1
60,20.0833,1
61,10.0833,1
62,12.5,1
63,10.0833,1
64,10.0833,1
65,20.1667,1
66,22.6667,1
67,12.5833,1
68,7.5833,1
69,15.0833,1
70,12.5833,1
71,17.5833,1
72,17.5,1
73,12.5,1
74,10.0,1
75,7.5833,1
76,12.6667,1
77,7.5833,1
78,12.6667,1
79,12.5833,1
80,7.5833,1
81,10.0,1
82,12.5833,1
83,10.0833,1
84,10.0833,1
85,17.5833,1
86,10.0833,1
87,5.0833,1
88,15.0833,1
89,15.0833,1
90,12.5833,1
91,10.0,1
92,12.5833,1
93,10.0833,1
94,10.0,1
95,15.0,1
96,20.1667,1
97,10.0833,1
98,7.5,1
99,12.5833,1
100,20.1667,1
101,7.5,1
102,10.0833,1
103,12.5833,1
104,10.0833,1
105,17.5833,1
106,15.0833,1
107,10.0833,1
108,15.1667,1
109,10.0,1
110,10.0,1
111,12.5833,1
112,7.5833,1
113,17.6667,1
114,10.0833,1
115,15.0833,1
116,7.5,1
117,15.0833,1
118,10.0833,1
119,17.5833,1
120,15.0,1
121,10.0833,1
122,12.5833,1
123,10.0833,1
124,10.0833,1
125,20.1667,1
126,12.6667,1
127,15.1667,1
128,10.0,1
129,7.5,1
130,7.5833,1
131,7.5833,1
132,7.5,1
133,20.0833,1
134,10.0833,1
135,5.0,1
136,12.5833,1
137,12.5833,1
138,15.0833,1
139,15.0833,1
140,12.5833,1
141,10.0833,1
142,17.6667,1
143,10.0833,1
144,7.5833,1
145,12.5833,1
146,15.0833,1
147,12.5833,1
148,12.5833,1
149,20.0833,1
150,12.5833,1
151,12.5833,1
152,10.0,1
153,10.0833,1
154,10.0,1
155,17.6667,1
156,15.1667,1
157,7.5,1
158,20.1667,1
159,12.6667,1
160,15.0833,1
161,15.1667,1
162,15.1667,1
163,15.1667,1
164,15.0,1
165,7.5,1
166,12.5833,1
167,12.5833,1
168,12.5833,1
169,5.0,1
170,10.0,1
171,10.0833,1
172,20.1667,1
173,15.1667,1
174,12.6667,1
175,13.5833,1
176,7.5,1
177,7.5833,1
178,7.5,1
179,7.5,1
180,7.5833,1
181,15.1667,1
182,10.0,1
183,10.5,1
184,10.0,1
185,15.0833,1
186,10.0833,1
187,12.5833,1
188,10.0833,1
189,12.5833,1
190,17.6667,1
191,7.5833,1
192,9.5833,1
193,15.0833,1
194,7.5,1
195,17.5833,1
196,10.0,1
197,10.0833,1
198,15.0833,1
199,10.0833,1
200,7.5,1
201,11.75,1
202,5.0833,1
203,20.0833,1
204,10.0833,1
205,15.1667,1
206,17.5833,1
207,13.4167,1
208,10.0833,1
209,12.6667,1
210,7.5,1
211,12.5833,1
212,20.0833,1
213,10.0833,1
214,15.0833,1
215,20.1667,1
216,12.5,1
217,12.5833,1
218,15.1667,1
219,12.5833,1
220,20.1667,1
221,10.0,1
222,10.0,1
223,7.5833,1
224,11.75,1
225,10.0833,1
226,15.0833,1
227,7.5833,1
228,15.1667,1
229,10.0833,1
230,17.5833,1
231,5.0,1
232,17.6667,1
233,9.5833,1
234,12.5833,1
235,12.5833,1
236,10.0833,1
237,15.1667,1
238,15.0833,1
239,10.5833,1
240,12.5833,1
241,7.5833,1
242,7.5,1
