,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
35,0,6,47,291,1786,8357,36299,54355,49980,54021,59432,63259,51410,42302,36541,32019,25051,19397,15759,11766,8910,7423,6540,5610,4328,3201,1962,1043,543,244,168,62
36,1553,10405,7974,1859,1545,7532,21069,22727,19716,20481,21802,23667,24020,25240,26973,28787,28856,25568,18850,12759,8379,5389,3724,2680,1900,1510,1343,1367,1123,1045,807,278
37,0,1110,9476,44584,6143,6484,43652,68996,92843,108040,108740,102313,80310,54337,30858,14707,7740,5307,6053,5984,4658,2540,1242,279,4,0,0,0,0,0,0,0
38,0,276,368,778,2940,10107,23671,41234,58390,70661,71905,61168,49395,38682,28225,17634,10404,5788,3161,1752,908,564,353,198,163,111,87,78,51,70,67,11
39,95,254,6678,4303,3680,5574,12300,26013,42102,60156,74462,72302,59305,48201,40295,33540,28123,23541,19153,15408,12727,10450,8710,7132,5509,4040,3073,2324,1608,1201,1269,10056
40,0,38,1117,4500,4611,5164,13391,21558,40857,69806,99402,114394,95942,67710,40422,20328,10162,5606,2407,1299,725,518,474,1219,1575,1810,1538,113,2,0,0,0
41,0,10,52,183,593,2224,5468,14178,32358,45540,43086,41972,50449,62630,67048,61728,50705,37992,27628,19560,13728,9477,6804,4897,3457,2508,2235,2302,2869,3459,4466,8618
42,0,65,401,2450,11996,49195,79037,94831,102702,97121,86095,66896,44668,26239,13165,5565,2334,1185,648,433,267,210,250,509,723,783,634,395,193,184,292,198
43,182,4120,11371,3208,2034,7076,28194,37398,30639,29477,35807,48675,55618,56191,49552,37267,25065,16006,10726,7184,4831,3164,2711,2653,2498,2403,2211,1800,1468,1133,999,579
44,0,5968,14440,3703,2045,1862,5803,16229,21805,20264,18563,18047,19454,24245,28344,31445,31129,28049,23069,17553,12277,8175,5936,4259,3160,2325,1908,1557,1365,1186,1014,4213
45,0,0,24,476,12832,31144,17177,10677,17947,31891,46716,57677,60444,58121,52520,43365,33381,25104,17981,11284,6390,3643,2320,1759,1799,2295,2405,1384,484,122,60,2
46,3014,7387,2644,2451,3861,7102,16177,33319,54757,74172,80038,79709,79932,74498,69333,52964,39390,28521,21103,17370,14682,12250,9858,8089,6716,5582,4459,3530,2598,1958,1465,1295
47,0,44,312,706,5351,30692,94135,94262,90403,82257,70620,55186,45152,34844,28145,22265,17656,13498,11504,7256,4801,3233,2031,1248,769,482,270,124,37,25,4,0
48,37,513,932,17536,26671,7149,8928,18291,30829,45087,59042,64501,54308,36160,20377,10288,5763,5136,1807,662,353,200,99,33,15,3,0,0,0,0,0,0
49,0,153,451,1834,3117,5303,15344,30836,46696,58375,64400,58719,54208,48410,34535,18646,7429,2545,793,389,312,370,553,1460,2009,2510,1017,315,56,9,6,0
50,3,3707,6904,15207,38710,72471,66877,63907,70679,77444,77945,72612,61366,48383,33425,20457,11183,5469,2661,1414,825,557,588,758,1318,1950,1847,1948,2123,2019,2117,1126
