,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
18,0,0,4,11,227,599,915,1845,4121,7721,11540,15948,19829,23993,27619,30183,31478,32323,30903,30101,29885,29049,28689,26289,22222,18004,14820,12346,10490,8866,7384,6215,5009,3917,3224,2417,1870,1324,939,720,517,509,524,569,859,772,594,679,731,832,989,1052,1021,1055,962,780,581,460,328,263,188,136,157,35
19,0,0,2,7,74,244,1422,7820,20245,32001,36780,35415,32370,29434,28029,27609,28609,29969,32154,34116,36814,39473,41405,41942,40599,38611,34924,30991,27340,24380,22196,20672,19671,18435,16223,13750,11238,8969,6866,5419,3996,3094,2410,1886,1719,1619,1585,1574,1572,1508,1502,1379,1406,1381,1345,1391,1346,1478,1606,1723,1881,2119,2256,534
20,0,0,0,14,15,127,2529,11941,21912,22444,19673,20559,24372,30369,36417,43634,51478,59284,65950,69577,71034,67844,62328,54808,46115,37606,29146,21789,15427,10400,7308,4641,3211,2065,1386,869,675,509,363,265,187,85,67,44,25,14,11,1,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
21,1,10094,23722,1534,3685,4909,2663,1664,1148,1464,2387,4127,6917,11660,17654,24608,31484,37255,41505,44584,46587,45921,43273,38953,32992,26643,20529,15062,10918,7687,5127,3136,1878,1245,801,585,405,308,252,191,159,103,55,40,30,19,20,6,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,68,6777,10913,2383,1175,2042,2845,2620,2226,2706,6268,10320,13692,11757,15270,19805,23741,30391,37976,45425,51118,54697,56238,54378,51191,45942,40727,34543,28135,22450,17048,12159,8409,5501,3477,2229,1531,988,783,671,594,588,523,490,452,375,345,292,243,152,134,65,37,14,14,5,4,8,4,4,2,0,0,0
23,0,0,0,64,607,2216,8279,15944,16804,13238,10537,10307,13502,18906,26219,33807,40906,46782,51462,54040,54284,51875,47394,40707,34347,28791,23325,18607,14240,10551,7755,5628,4006,2761,1900,1326,917,643,333,211,143,149,141,133,142,145,201,314,502,866,1247,1694,1675,1739,1562,1368,1050,745,445,296,218,67,1,0
24,0,0,1210,8125,3171,2339,2069,1834,1774,1671,1824,2154,3785,5153,6320,8229,10740,12877,13085,12753,13445,14042,16190,19104,22693,26380,30433,35159,39352,43550,45994,47856,47583,45142,42195,38627,34078,29818,25095,20523,16783,13061,9550,6850,5375,4251,3169,2399,2020,1816,1568,1213,833,639,518,384,328,278,186,149,103,62,29,0
25,0,0,1,2583,13915,26154,22679,13552,5815,2642,2088,2581,4150,6207,9158,12876,17700,23724,29075,35360,41486,45815,48577,49472,48342,43956,39144,33339,26979,21655,16823,13146,10087,7500,5692,4358,3293,2512,1789,1360,1096,843,603,518,484,448,382,374,315,344,363,415,482,573,818,1091,1258,1392,1306,1151,861,948,920,134
26,0,0,0,15,322,6815,18951,30359,13769,4790,2333,2575,4833,9280,16225,24490,33362,41374,46558,48190,46061,41088,33871,27692,22512,18764,14936,11997,9511,7432,5519,4228,3144,2408,1723,1268,1005,813,655,592,496,421,379,290,263,253,293,315,344,415,637,1043,1508,1940,2220,2103,1248,552,174,77,29,4,0,0
27,0,0,18,1111,1180,11968,22336,12814,2165,1184,2615,7564,18868,36595,38162,37724,45024,51432,51463,49756,47756,47766,50723,49904,43100,34378,26626,20364,15256,10301,6322,3831,2250,1838,1757,2233,3443,5386,5401,3411,1660,862,404,136,54,41,18,9,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
