,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256
10,46542,64464,0,25991,0,9706,0,36170,0,3462,0,4155,0,4171,0,43982,0,14877,0,6713,0,2117,0,6355,0,6781,0,4674,0,6222,0,48264,0,0,0,0,0,361,0,5745,0,0,0,622,0,337,0,4565,0,0,0,1801,0,610,0,5199,0,0,0,5109,0,4608,0,39191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,675,0,0,0,476,0,0,0,4295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5032,0,0,0,0,0,0,0,6956,0,0,0,0,0,0,0,64769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70992,1
11,41522,60181,0,26014,0,7050,0,35161,0,3498,0,3751,0,3813,0,47179,0,12213,0,5269,0,1257,0,4960,0,5262,0,3598,0,4964,0,44378,0,0,0,0,0,293,0,3706,0,0,0,367,0,308,0,3559,0,0,0,1547,0,382,0,4134,0,0,0,4081,0,3723,0,34695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,392,0,0,0,349,0,0,0,3546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4330,0,0,0,0,0,0,0,6644,0,0,0,0,0,0,0,63983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53071,1
12,44198,61184,0,25264,0,7888,0,32453,0,3696,0,4156,0,4093,0,44311,0,12321,0,5293,0,1613,0,5337,0,5285,0,3483,0,5203,0,42506,0,0,0,0,0,374,0,3889,0,0,0,461,0,375,0,3830,0,0,0,1592,0,500,0,4117,0,0,0,4168,0,4014,0,34029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,503,0,0,0,451,0,0,0,3670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4857,0,0,0,0,0,0,0,6187,0,0,0,0,0,0,0,63312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57615,1
13,40920,54957,0,27949,0,9336,0,43718,0,2499,0,3598,0,3585,0,44782,0,9714,0,5201,0,1987,0,6104,0,5214,0,5650,0,6125,0,55169,0,0,0,0,0,327,0,4268,0,0,0,585,0,348,0,3894,0,0,0,1315,0,529,0,4443,0,0,0,4404,0,3863,0,35324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,849,0,0,0,436,0,0,0,4366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4123,0,0,0,0,0,0,0,9025,0,0,0,0,0,0,0,61258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65513,1
14,47175,62642,0,24605,0,9904,0,31460,0,3382,0,3997,0,4036,0,34760,0,14085,0,6698,0,2241,0,6110,0,6807,0,4743,0,6139,0,41158,0,0,0,0,0,444,0,5224,0,0,0,685,0,456,0,4566,0,0,0,2012,0,682,0,5111,0,0,0,4994,0,4401,0,36787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,763,0,0,0,544,0,0,0,4514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5076,0,0,0,0,0,0,0,6971,0,0,0,0,0,0,0,64584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73629,1
15,47503,61943,0,23691,0,7983,0,29424,0,3770,0,3877,0,3887,0,37101,0,14643,0,6430,0,1656,0,5197,0,6504,0,4229,0,5171,0,40189,0,0,0,0,0,425,0,4393,0,0,0,542,0,423,0,4087,0,0,0,1898,0,551,0,4511,0,0,0,4538,0,4097,0,34412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,508,0,0,0,481,0,0,0,3958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5258,0,0,0,0,0,0,0,6274,0,0,0,0,0,0,0,66824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71210,1
16,60778,84937,0,34344,0,11340,0,46322,0,4746,0,5102,0,5009,0,61050,0,20267,0,8329,0,2465,0,7632,0,8342,0,5307,0,7739,0,63035,0,0,0,0,0,393,0,5985,0,0,0,681,0,462,0,5311,0,0,0,2210,0,675,0,6100,0,0,0,5888,0,5469,0,49677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,709,0,0,0,507,0,0,0,5007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6175,0,0,0,0,0,0,0,10516,0,0,0,0,0,0,0,90389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82816,1
17,79823,105369,0,49725,0,14525,0,64167,0,6843,0,7386,0,7522,0,78844,0,18350,0,9906,0,2841,0,9603,0,9904,0,7074,0,9611,0,81027,0,0,0,0,0,744,0,7727,0,0,0,999,0,787,0,7696,0,0,0,3161,0,959,0,7848,0,0,0,8095,0,7357,0,67827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,1116,0,0,0,919,0,0,0,7731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8305,0,0,0,0,0,0,0,9983,0,0,0,0,0,0,0,109229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106969,1
18,41589,58071,0,26992,0,7224,0,38488,0,3316,0,3630,0,3662,0,50154,0,11841,0,5553,0,1414,0,5369,0,5584,0,3869,0,5457,0,50674,0,0,0,0,0,277,0,4559,0,0,0,375,0,281,0,3871,0,0,0,1675,0,374,0,4368,0,0,0,4415,0,3906,0,38303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,496,0,0,0,316,0,0,0,3905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3954,0,0,0,0,0,0,0,6071,0,0,0,0,0,0,0,60753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56803,1
19,82070,103479,0,50026,0,14566,0,62880,0,6567,0,6965,0,6922,0,72601,0,18903,0,10599,0,2840,0,9785,0,10860,0,7845,0,9741,0,78217,0,0,0,0,0,749,0,8268,0,0,0,969,0,738,0,7788,0,0,0,3573,0,931,0,8108,0,0,0,8455,0,7563,0,68714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,1042,0,0,0,894,0,0,0,7998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8706,0,0,0,0,0,0,0,9361,0,0,0,0,0,0,0,109592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110140,1
