,0,1,2,3,4,5,6,7,8,9,10
93,44978,63975,29076,39728,52101,51665,40270,65485,61409,102737,1
94,44938,55974,23344,30992,38288,44028,37048,58893,62369,104862,1
95,53437,84745,33795,48385,67793,61278,44101,87171,78650,128773,1
96,75485,98605,38508,49032,51779,64805,60151,100316,123525,190274,1
97,40688,53784,23117,30613,37220,40012,32376,56010,54656,90788,1
98,30121,45831,19043,26557,36116,33499,24856,47952,39811,69462,1
99,49559,67791,25610,34436,41414,46680,38636,75971,77257,120182,1
100,90567,111840,47293,62418,82281,89699,73805,121518,121169,203954,1
101,38347,47790,21484,29051,33742,38814,35017,49795,57255,89537,1
102,40413,56266,20619,27513,35503,36629,28145,62098,62933,92217,1
103,53854,67652,25270,30347,33016,40930,39160,70785,80191,133259,1
104,40771,53942,19188,25685,34126,35611,28428,58754,55563,93372,1
105,67936,92719,34818,46320,61148,64608,49224,102571,86239,157809,1
106,82620,105829,48726,61530,75419,80235,68848,110976,106728,180689,1
107,46026,62914,28658,39481,51325,52376,41021,65749,60526,103348,1
108,51342,80154,32137,44493,59807,55815,41609,83507,70851,119261,1
109,42577,56988,21224,26698,35734,35664,30073,60639,56110,93557,1
110,40592,58691,21767,29116,36577,39143,31602,62682,61987,97075,1
111,48472,72159,29041,39038,52051,48587,37835,75102,63860,109855,1
112,37143,50147,19449,24761,31008,32467,28276,53771,54328,86442,1
113,72128,95059,37247,47060,52049,61373,56663,98271,112446,175640,1
114,49668,67239,34532,46836,56709,57148,48693,70889,69829,111321,1
115,77341,100565,48732,65627,81157,85316,72375,103685,108990,177812,1
116,33411,45917,17702,22519,29109,29217,24868,48797,47111,76133,1
117,63584,87214,36952,45652,57546,56741,48487,91615,83067,138774,1
118,41018,54580,19831,25617,31105,32903,27860,57972,57844,93638,1
119,77486,105372,44084,55739,67691,69930,61252,108319,108233,180486,1
120,64428,86382,37353,49833,66773,68045,52074,91861,85840,146979,1
121,39443,54254,24015,31752,41219,40433,32644,57402,51474,88164,1
122,48069,65164,24395,32421,40609,43023,34727,70911,62593,109544,1
123,44183,59379,25216,31295,35546,38422,35091,63132,66644,103364,1
124,54399,69848,40473,57763,73141,74925,57845,73294,68850,119126,1
125,72064,98510,42963,56367,66174,68851,59338,103875,112364,170438,1
126,56702,70712,30387,38633,41033,50528,46551,75483,87918,133349,1
127,79552,107228,45387,57980,66386,72023,65377,112321,114600,188458,1
128,41021,60830,22472,30747,39030,40701,32816,64952,66462,100169,1
129,36373,50559,19495,24704,32571,32777,28157,52172,52346,84030,1
130,37837,51171,19927,24636,31699,32006,27723,54566,50053,86638,1
131,35577,51590,19772,25558,33728,33734,27687,56168,49868,82574,1
132,37096,50334,19576,24701,30931,31795,27803,53021,51075,83780,1
133,78855,100283,40652,50889,52814,66347,63372,103738,126205,193901,1
